Transaction Date,Post Date,Description,Category,Amount
Oct 18,Oct 21,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.60
Oct 19,Oct 20,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,17.18
Oct 20,Oct 21,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,12.01
Oct 21,Oct 22,BK #11895,WINNIPEG MB Restaurants,12.31
Oct 22,Oct 23,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.44
Oct 22,Oct 26,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.60
Oct 23,Oct 26,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,5.96
Oct 23,Oct 26,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,13.96
Oct 24,Oct 26,PIZZA HOTLINE #8,WINNIPEG MB Restaurants,11.19
Oct 25,Oct 26,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.43
Oct 27,Oct 28,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.44
Oct 28,Oct 29,BK #11895,WINNIPEG MB Restaurants,14.55
Oct 30,Nov 02,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,38.70
Oct 30,Nov 02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,13.25
Oct 30,Nov 02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38
Oct 31,Nov 02,DOMINOS PIZZA 10210,WINNIPEG MB Restaurants,14.55
Oct 31,Nov 02,FIVE,GUYS BURGERS & FR WINNIPEG MB Restaurants,16.43
Nov 01,Nov 02,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,29.21
Nov 02,Nov 03,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,26.50
Nov 02,Nov 05,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38
Nov 04,Nov 05,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,25.43
Nov 04,Nov 06,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,4.54
Nov 04,Nov 09,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,12.86
Nov 05,Nov 09,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,40.30
Nov 07,Nov 09,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,60.36
Nov 08,Nov 10,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,21.27
Nov 09,Nov 10,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,27.10
Nov 10,Nov 12,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,22.39
Nov 10,Nov 13,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,4.57
Nov 13,Nov 16,PAYMENT THANK YOU/PAIEMENT,MERCI,134.34
